cartodb_id,the_geom,rang,reseau,station,trafic,correspondance_1,correspondance_2,correspondance_3,correspondance_4,correspondance_5,ville,arrondissement_pour_paris,station_name,num_correspondances
101,,15,RER,ANTONY,6186694,B,,,,,Antony,,Antony,1
102,,189,Métro,PORTE DE LA CHAPELLE,2939078,12,,,,,Paris,18,Porte de la Chapelle,1
103,,187,Métro,SAINT-AUGUSTIN,2947957,9,,,,,Paris,8,Saint-Augustin,1
104,,192,Métro,PORTE DAUPHINE,2894665,2,,,,,Paris,16,Porte Dauphine,1
105,,198,Métro,PORTE DOREE,2822951,8,,,,,Paris,12,Porte Dorée,1
106,,207,Métro,NATIONALE,2614523,6,,,,,Paris,13,Nationale,1
107,,181,Métro,COMMERCE,2996497,8,,,,,Paris,15,Commerce,1
108,,178,Métro,SAINT-DENIS-PORTE DE PARIS,3041907,13,,,,,Saint Denis,,Saint-Denis Porte de Paris,1
110,,196,Métro,BERAULT,2858413,1,,,,,Vincennes,,Bérault,1
111,,185,Métro,PLACE MONGE,2973319,7,,,,,Paris,,Place Monge,1
55,,282,Métro,PIERRE CURIE,1406411,7,,,,,Ivry,,,1
113,,109,Métro,PORTE DE VANVES,4410283,13,,,,,Paris,14,Porte de Vanves,1
114,,158,Métro,QUAI DE LA GARE,3366405,6,,,,,Paris,13,Quai de la Gare,1
115,,126,Métro,ALEXANDRE DUMAS,3846473,2,,,,,Paris,11,Alexandre Dumas,1
116,,102,Métro,COLONEL FABIEN,4575858,2,,,,,Paris,10,Colonel Fabien,1
120,,149,Métro,CADET,3485034,7,,,,,Paris,9,Cadet,1
122,,255,Métro,PORTE DE CHARENTON,1902697,8,,,,,Paris,12,Porte de Charenton,1
123,,252,Métro,SEVRES-LECOURBE,1992343,6,,,,,Paris,15,Sèvres-Lecourbe,1
124,,247,Métro,MAISON BLANCHE,2043760,7,,,,,Paris,13,Maison Blanche,1
125,,248,Métro,MICHEL BIZOT,2043217,8,,,,,Paris,12,Michel Bizot,1
126,,240,Métro,SAINT-MARCEL,2101575,5,,,,,Paris,13,Saint-Marcel,1
127,,257,Métro,MABILLON,1892987,10,,,,,Paris,6,Mabillon,1
128,,230,Métro,RANELAGH,2383384,9,,,,,Paris,16,Ranelagh,1
129,,246,Métro,JASMIN,2047639,9,,,,,Paris,16,Jasmin,1
132,,268,Métro,SAINT-FRANCOIS-XAVIER,1797081,13,,,,,Paris,7,Saint-François-Xavier,1
133,,300,Métro,BUTTES-CHAUMONT,492601,7bis,,,,,Paris,19,Buttes Chaumont,1
134,,262,Métro,QUATRE-SEPTEMBRE,1850860,3,,,,,Paris,2,Quatre Septembre,1
135,,276,Métro,CHATEAU-LANDON,1629996,7,,,,,Paris,10,Château Landon,1
136,,281,Métro,SULLY-MORLAND,1468391,7,,,,,Paris,4,Sully - Morland,1
137,,301,Métro,PELLEPORT,382266,3bis,,,,,Paris,20,Pelleport,1
138,,293,Métro,FALGUIERE,965829,12,,,,,Paris,15,Falguière,1
139,,278,Métro,VARENNE,1552036,13,,,,,Paris,7,Varenne,1
140,,294,Métro,VANEAU,959858,10,,,,,Paris,7,Vaneau,1
141,,275,Métro,LIEGE,1659751,13,,,,,Paris,8,Liège,1
142,,56,RER,PALAISEAU-VILLEBON,856892,B,,,,,Palaiseau,,,1
143,,50,RER,LES BACONNETS,1623880,B,,,,,Antony,,Les Baconnets,1
144,,16,Métro,PLACE D'ITALIE,11542761,5,6,7,,,Paris,13,Place d'Italie,3
146,,39,Métro,STALINGRAD,7089762,2,5,7,,,Paris,19,Stalingrad,3
147,,42,Métro,MADELEINE,6889442,8,12,14,,,Paris,8,Madeleine,3
117,,115,Métro,ALMA-MARCEAU,4272042,9,,,,,Paris,8,Alma-Marceau,1
148,,23,Métro,BARBES-ROCHECHOUART,9178399,2,4,,,,Paris,18,Barbès - Rochechouart,2
149,,29,Métro,HAVRE-CAUMARTIN,7661183,3,9,,,,Paris,9,Havre - Caumartin,2
79,,25,Métro,CHARLES DE GAULLE-ETOILE,8941588,1,2,6,,,Paris,8,Charles de Gaulle — Étoile (metro),3
87,,85,Métro,PONT DE LEVALLOIS-BECON,5033694,3,,,,,Levallois-Perret,,Pont de Levallois – Bécon,1
118,,140,Métro,FUNICULAIRE,3596114,2,,,,,Paris,18,Funiculaire Montmartre - Station Inférieure,1
109,,224,Métro,BOBIGNY-PANTIN-RAYMOND QUENEAU,2438115,5,,,,,Pantin,,Bobigny-Pantin (Raymond Queneau),1
145,,8,Métro,BIBLIOTHEQUE,15840239,14,,,,,Paris,13,Bibliothèque François Mitterrand,1
151,,24,Métro,PORTE MAILLOT,9089205,1,,,,,Paris,16,Porte Maillot,1
153,,41,Métro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,6927817,7,,,,,Aubervilliers,,Aubervilliers - Pantin - Quatre Chemins,1
154,,31,Métro,BOBIGNY-PABLO PICASSO,7461452,5,,,,,Bobigny,,Bobigny - Pablo Picasso,1
155,,40,Métro,OLYMPIADES,7000540,14,,,,,Paris,,Olympiades,1
156,,116,Métro,DENFERT-ROCHEREAU,4268859,4,6,,,,Paris,14,Denfert-Rochereau,2
157,,119,Métro,RICHELIEU-DROUOT,4114054,8,9,,,,Paris,9,Richelieu Drouot,2
158,,100,Métro,GUY MOQUET,4602495,13,,,,,Paris,17,Guy Môquet,1
159,,112,Métro,LA MUETTE,4328056,9,,,,,Paris,16,La Muette,1
170,,94,Métro,PEREIRE,4711045,3,,,,,Paris,17,Péreire,1
171,,78,Métro,SAINT-DENIS-UNIVERSITE,5261145,13,,,,,Saint Denis,,Saint-Denis-Université,1
65,,206,Métro,LIBERTE,2635279,8,,,,,Charenton,,Liberté,1
172,,53,Métro,VILLEJUIF-LOUIS ARAGON,6360814,7,,,,,Villejuif,,,1
173,,49,Métro,MAIRIE DE MONTREUIL,6517125,9,,,,,Montreuil,,Mairie de Montreuil,1
174,,97,Métro,CRETEIL-PREFECTURE,4674246,8,,,,,Créteil,,,1
175,,57,Métro,GALLIENI,6196476,3,,,,,Bagnolet,,Gallieni,1
176,,141,Métro,PORTE DE CHAMPERRET,3595140,3,,,,,Paris,17,Porte de Champerret,1
177,,139,Métro,LES GOBELINS,3603185,7,,,,,Paris,13,Les Gobelins,1
178,,151,Métro,JOURDAIN,3474999,11,,,,,Paris,20,Jourdain,1
179,,147,Métro,GONCOURT,3517379,11,,,,,Paris,11,Goncourt,1
180,,155,Métro,TOLBIAC,3419771,7,,,,,Paris,13,Tolbiac,1
181,,167,Métro,GAITE,3134147,13,,,,,Paris,14,Gaîté,1
182,,160,Métro,BOURSE,3293898,3,,,,,Paris,2,Bourse,1
160,,128,Métro,TERNES,3833182,2,,,,,Paris,17,Ternes,1
161,,111,Métro,LE KREMLIN-BICETRE,4360175,7,,,,,Kremlin-Bicêtre,,Le Kremlin-Bicêtre,1
162,,136,Métro,FORT D'AUBERVILLIERS,3694272,7,,,,,Aubervilliers,,Fort d'Aubervilliers,1
163,,130,Métro,MAIRIE DE SAINT-OUEN,3819193,13,,,,,Saint Ouen,,Mairie de Saint-Ouen,1
369,,63,RER,MASSY-VERRIERES,566720,B,,,,,Massy,,,1
19,,105,Métro,JULES JOFFRIN,4464152,12,,,,,Paris,18,Jules Joffrin,1
20,,114,Métro,BLANCHE,4278243,2,,,,,Paris,9,Blanche,1
21,,113,Métro,BALARD,4287048,8,,,,,Paris,15,Balard,1
22,,108,Métro,MAIRIE D'ISSY,4413172,12,,,,,Issy Les Moulineaux,,Mairie d'Issy,1
23,,81,Métro,CROIX DE CHAVAUX,5198911,9,,,,,Montreuil,,Croix de Chavaux,1
24,,104,Métro,MENILMONTANT,4472755,2,,,,,Paris,,Ménilmontant,1
25,,107,Métro,RAMBUTEAU,4429945,11,,,,,Paris,,Rambuteau,1
1,,18,Métro,STRASBOURG-SAINT-DENIS,9967686,4,8,9,,,Paris,2,Strasbourg - Saint-Denis,3
2,,5,Métro,GARE DE L'EST,20284835,4,5,7,,,Paris,10,Gare de l'Est,3
3,,10,Métro,BASTILLE,13590937,1,5,8,,,Paris,12,Bastille,3
4,,13,Métro,OPERA,12288027,3,7,8,,,Paris,9,Opéra,3
191,,58,RER,LOZERE,757466,B,,,,,Palaiseau,,,1
58,,203,Métro,JACQUES BONSERGENT,2667291,5,,,,,Paris,10,Jacques Bonsergent,1
59,,173,Métro,RUE DE LA POMPE,3093242,9,,,,,Paris,16,Rue de la Pompe,1
60,,202,Métro,RUE DES BOULETS,2693345,9,,,,,Paris,11,Rue des Boulets,1
61,,199,Métro,LA FOURCHE,2816140,13,,,,,Paris,8,La Fourche,1
63,,205,Métro,DUGOMMIER,2640369,6,,,,,Paris,12,Dugommier,1
64,,179,Métro,COURONNES,3006923,2,,,,,Paris,11,Couronnes,1
66,,267,Métro,SAINT-SEBASTIEN-FROISSART,1804340,8,,,,,Paris,3,Saint-Sébastien - Froissart,1
67,,225,Métro,PORTE D'ITALIE,2432555,7,,,,,Paris,13,Porte d'Italie,1
68,,217,Métro,SAINT-SULPICE,2532665,4,,,,,Paris,6,Saint-Sulpice,1
69,,209,Métro,MALESHERBES,2601913,3,,,,,Paris,17,Malesherbes,1
